"";"bed";"case";"sumcheck"
"1";0;NA;3
"2";0;17;5
"3";0;95;5
"4";0;164;7
"5";0;42;7
"6";0;75;7
"7";0;20;1
"8";0;151;1
"9";0;102;7
"10";0;233;7
"11";0;156;7
"12";0;53;6
"13";0;47;3
"14";0;65;5
"15";0;191;7
"17";0;137;7
"18";0;19;5
"19";0;143;6
"20";0;209;7
"21";0;98;5
"22";0;26;7
"23";0;127;7
"24";0;43;7
"25";0;211;7
"26";0;28;7
"27";0;203;6
"28";0;4;3
"29";0;57;7
"30";0;178;7
"31";0;186;5
"32";0;128;7
"33";0;13;6
"34";0;66;7
"35";0;135;7
"36";0;84;7
"37";0;35;7
"38";0;25;7
"39";0;34;7
"40";0;157;7
"41";0;105;7
"42";0;111;5
"43";0;167;5
"44";0;195;7
"45";0;173;5
"46";0;150;2
"47";0;215;1
"48";0;74;7
"49";0;231;7
"50";0;10;7
"51";0;153;7
"52";0;101;7
"53";0;181;7
"54";0;86;7
"55";0;197;7
"56";0;121;6
"57";0;62;6
"58";0;18;7
"59";0;30;6
"60";0;92;6
"61";0;48;6
"62";0;40;7
"63";0;14;5
"64";0;79;6
"65";0;205;7
"66";0;177;1
"67";0;5;7
"68";0;188;7
"69";0;202;5
"70";0;216;6
"71";0;219;7
"72";0;44;7
"73";0;172;7
"74";0;80;7
"75";0;235;5
"76";0;50;1
"77";0;51;4
"78";0;147;3
"79";0;81;2
"80";0;69;4
"81";0;141;7
"82";0;82;6
"83";0;52;7
"84";0;64;1
"85";0;1;7
"86";0;73;7
"87";0;168;5
"88";0;120;6
"89";0;208;7
"90";0;182;5
"91";0;129;6
"92";0;93;7
"93";0;29;7
"94";0;176;7
"95";1;158;1
"96";1;140;1
"97";1;224;1
"98";1;96;3
"99";1;222;1
"100";1;63;1
"101";1;126;1
"102";1;41;1
"104";1;21;1
"105";1;136;1
"106";1;166;1
"107";1;85;6
"108";1;212;1
"110";1;11;6
"111";1;206;2
"112";1;165;5
"113";1;61;2
"114";1;60;2
"115";1;163;2
"116";1;170;4
"117";1;210;7
"118";1;33;5
"119";1;115;1
"120";1;32;7
"121";1;118;3
"122";1;213;2
"123";1;234;7
"125";1;8;6
"126";1;99;6
"127";1;119;1
"128";1;174;6
"129";1;190;6
"130";1;22;7
"131";1;3;7
"132";1;171;7
"133";1;90;6
"134";1;198;3
"135";1;196;7
"136";1;12;5
"137";1;124;7
"138";1;230;4
"139";1;149;7
"140";1;7;7
"141";1;103;7
"142";1;6;7
"143";1;145;1
"144";1;83;7
"145";1;72;6
"146";1;139;6
"147";1;142;7
"148";1;9;6
"149";1;138;4
"150";1;39;7
"151";1;226;7
"152";1;24;7
"153";1;113;7
"154";1;220;7
"155";1;179;7
"156";1;31;2
"157";1;133;7
"158";1;201;7
"160";1;144;7
"161";1;54;7
"162";1;45;7
"163";1;68;6
"164";1;130;7
"165";1;228;2
"166";1;146;6
"167";1;36;6
"168";1;107;7
"169";1;71;5
"170";1;125;1
"171";1;94;6
"172";1;23;3
"173";1;207;3
"174";1;70;7
"175";1;2;7
"176";1;193;7
"177";1;134;7
"178";1;104;7
"179";1;180;4
"180";1;27;5
"181";1;154;4
"182";1;58;7
"183";1;46;7
"184";1;159;6
"186";1;49;7
"187";1;59;7
"188";1;183;7
"189";1;76;6
"190";1;155;7
"191";1;131;1
"192";1;56;7
"193";1;106;7
"194";1;225;7
"195";1;78;5
"196";1;100;7
"197";1;88;7
"198";1;223;7
"199";1;199;7
"200";1;187;7
"202";1;89;1
"203";1;112;6
"204";1;175;7
"205";1;37;7
"206";1;200;7
"207";0;123;1
"208";0;77;5
"209";0;116;3
"210";0;109;5
"211";0;87;3
"212";0;122;2
"213";1;236;6
"214";1;110;5
"215";1;185;5
"216";1;232;3
"217";1;169;6
"218";1;55;1
"219";0;117;2
"221";1;221;1
"222";1;16;1
"223";1;229;1
